park_id,park,is_corn,level_parent,shape_did,n_win,n_shoulder,rank_level,rank_shape
3312,Target Field,True,-0.4556246780892172,1.8621620660066986,66,134,11,1
7,Kauffman Stadium,True,1.5859599066232855,1.4825209938448318,64,128,2,2
4,Rate Field,True,1.2584313108889078,1.1084748265677813,69,137,3,3
2889,Busch Stadium,True,1.9271423073182512,1.096180572465265,76,132,1,4
2602,Great American Ball Park,True,0.24029742633507256,0.8638019908286413,65,123,7,5
3309,Nationals Park,False,-0.09953039650490729,0.7867122925463025,63,132,9,6
2394,Comerica Park,True,-0.562424999892487,0.7538032334605126,70,139,12,7
2,Oriole Park at Camden Yards,False,0.8734812711455363,0.6068422877910986,73,134,4,8
3289,Citi Field,False,-0.25478311203883675,0.46718446315846984,72,131,10,9
3,Fenway Park,False,-0.08738928709651088,0.3989947408109092,67,136,8,10
31,PNC Park,False,-0.7830871196876394,-0.278038219964582,69,133,13,11
2681,Citizens Bank Park,False,-1.1232045679544502,-0.47663823926728077,74,128,14,12
17,Wrigley Field,True,0.7209101371500314,-0.9187444647493973,64,125,5,13
3313,Yankee Stadium,False,-1.503481381651525,-1.5001412490427861,64,131,15,14
5,Progressive Field,False,0.2644751592339741,-1.9389811191128983,70,129,6,15
